max_depth,min_samples_split,min_samples_leaf,accuracy,precision,recall,f1,roc_auc,training_time,experiment
,2,1,0.7256574271499645,0.48429319371727747,0.4946524064171123,0.4894179894179894,0.6522122885940436,0.12898826599121094,max_depth
3.0,2,1,0.7782515991471215,0.655,0.3502673796791444,0.4564459930313589,0.8069831910586993,0.0736839771270752,max_depth
5.0,2,1,0.7896233120113717,0.6020942408376964,0.6149732620320856,0.6084656084656085,0.8296250472379394,0.09326934814453125,max_depth
7.0,2,1,0.7775408670931059,0.5915915915915916,0.5267379679144385,0.5572842998585573,0.816156410641349,0.09742188453674316,max_depth
10.0,2,1,0.7569296375266524,0.5479041916167665,0.4893048128342246,0.5169491525423728,0.7596688943992629,0.12122154235839844,max_depth
15.0,2,1,0.728500355366027,0.4895287958115183,0.5,0.4947089947089947,0.679012377634324,0.134537935256958,max_depth
20.0,2,1,0.7256574271499645,0.484375,0.49732620320855614,0.49076517150395776,0.6524167706332731,0.11227917671203613,max_depth
,,,,,,,,,
,2,1,0.7256574271499645,0.48429319371727747,0.4946524064171123,0.4894179894179894,0.6522122885940436,0.12782835960388184,min_samples_split
,5,1,0.7377398720682303,0.5070028011204482,0.4839572192513369,0.4952120383036936,0.6799998446971854,0.11203384399414062,min_samples_split
,10,1,0.7448471926083866,0.5223880597014925,0.4679144385026738,0.4936530324400564,0.7023763919014758,0.1291048526763916,min_samples_split
,20,1,0.7583511016346838,0.547752808988764,0.5213903743315508,0.5342465753424658,0.7545736678901077,0.1162261962890625,min_samples_split
,50,1,0.7746979388770433,0.5871559633027523,0.5133689839572193,0.5477888730385164,0.7952034725709346,0.0999908447265625,min_samples_split
,,,,,,,,,
,2,1,0.7256574271499645,0.48429319371727747,0.4946524064171123,0.4894179894179894,0.6522122885940436,0.12022542953491211,min_samples_leaf
,2,2,0.7420042643923241,0.5176848874598071,0.4304812834224599,0.47007299270072994,0.6761159801419467,0.11345267295837402,min_samples_leaf
,2,5,0.7547974413646056,0.5425219941348973,0.4946524064171123,0.5174825174825175,0.749871875177951,0.10248136520385742,min_samples_leaf
,2,10,0.7739872068230277,0.5958904109589042,0.46524064171123,0.5225225225225225,0.7797819030806903,0.10388565063476562,min_samples_leaf
,2,20,0.7789623312011372,0.6026058631921825,0.4946524064171123,0.5433186490455213,0.8055945250581091,0.09212875366210938,min_samples_leaf
,2,50,0.7967306325515281,0.6527777777777778,0.5026737967914439,0.56797583081571,0.8282493231385664,0.08662939071655273,min_samples_leaf
,,,,,,,,,
3.0,2,1,0.7782515991471215,0.655,0.3502673796791444,0.4564459930313589,0.8069831910586993,0.0669858455657959,combined
3.0,2,5,0.7782515991471215,0.655,0.3502673796791444,0.4564459930313589,0.8069831910586993,0.07090163230895996,combined
3.0,2,10,0.7782515991471215,0.655,0.3502673796791444,0.4564459930313589,0.8069831910586993,0.06916117668151855,combined
3.0,10,1,0.7782515991471215,0.655,0.3502673796791444,0.4564459930313589,0.8069831910586993,0.06699109077453613,combined
3.0,10,5,0.7782515991471215,0.655,0.3502673796791444,0.4564459930313589,0.8069831910586993,0.06625628471374512,combined
3.0,10,10,0.7782515991471215,0.655,0.3502673796791444,0.4564459930313589,0.8069831910586993,0.06615471839904785,combined
3.0,20,1,0.7782515991471215,0.655,0.3502673796791444,0.4564459930313589,0.8069831910586993,0.06668591499328613,combined
3.0,20,5,0.7782515991471215,0.655,0.3502673796791444,0.4564459930313589,0.8069831910586993,0.06682348251342773,combined
3.0,20,10,0.7782515991471215,0.655,0.3502673796791444,0.4564459930313589,0.8069831910586993,0.07052326202392578,combined
5.0,2,1,0.7896233120113717,0.6020942408376964,0.6149732620320856,0.6084656084656085,0.8296250472379394,0.07750225067138672,combined
5.0,2,5,0.7896233120113717,0.6020942408376964,0.6149732620320856,0.6084656084656085,0.828879593727837,0.07787823677062988,combined
5.0,2,10,0.7903340440653873,0.6036745406824147,0.6149732620320856,0.609271523178808,0.8283269745458688,0.07828688621520996,combined
5.0,10,1,0.7896233120113717,0.6020942408376964,0.6149732620320856,0.6084656084656085,0.8298605898400898,0.07847809791564941,combined
5.0,10,5,0.7896233120113717,0.6020942408376964,0.6149732620320856,0.6084656084656085,0.828879593727837,0.0841670036315918,combined
5.0,10,10,0.7903340440653873,0.6036745406824147,0.6149732620320856,0.609271523178808,0.8283269745458688,0.07653689384460449,combined
5.0,20,1,0.7896233120113717,0.6020942408376964,0.6149732620320856,0.6084656084656085,0.8298605898400898,0.08277583122253418,combined
5.0,20,5,0.7896233120113717,0.6020942408376964,0.6149732620320856,0.6084656084656085,0.828879593727837,0.07659673690795898,combined
