feature_set,model,number_of_features,accuracy,precision,recall,f1,roc_auc,training_time
Baseline,Logistic Regression,46,0.8002842928216063,0.6388059701492538,0.5721925133689839,0.6036671368124118,0.835263833598211,0.07912254333496094
Baseline,Random Forest,46,0.7882018479033405,0.62751677852349,0.5,0.5565476190476191,0.8309787701052435,0.7953267097473145
Baseline,XGBoost,46,0.7974413646055437,0.6386292834890965,0.5481283422459893,0.5899280575539568,0.8374704277557192,0.33409619331359863
,,,,,,,,
Constructed,Logistic Regression,55,0.7910447761194029,0.6282051282051282,0.5240641711229946,0.5714285714285714,0.8346633293817394,0.1057424545288086
Constructed,Random Forest,55,0.7889125799573561,0.6323024054982818,0.4919786096256685,0.5533834586466165,0.8315637440402545,0.8988778591156006
Constructed,XGBoost,55,0.7995735607675906,0.64375,0.5508021390374331,0.5936599423631124,0.8390920479782162,0.214768648147583
,,,,,,,,
Selected Top 10,Logistic Regression,10,0.7967306325515281,0.6375,0.5454545454545454,0.5878962536023055,0.8307238146512675,0.06163430213928223
Selected Top 10,Random Forest,10,0.7860696517412935,0.617363344051447,0.5133689839572193,0.5605839416058395,0.8227231313188834,0.543560266494751
Selected Top 10,XGBoost,10,0.7910447761194029,0.6282051282051282,0.5240641711229946,0.5714285714285714,0.8327518105719802,0.11852860450744629
,,,,,,,,
Selected Top 20,Logistic Regression,20,0.7974413646055437,0.6386292834890965,0.5481283422459893,0.5899280575539568,0.8362176517179081,0.06576943397521973
Selected Top 20,Random Forest,20,0.7917555081734187,0.6327868852459017,0.516042780748663,0.5684830633284241,0.8298955329733759,0.7602207660675049
Selected Top 20,XGBoost,20,0.7953091684434968,0.6423841059602649,0.5187165775401069,0.5739644970414202,0.8366033203741764,0.14368367195129395
,,,,,,,,
Selected Top 30,Logistic Regression,30,0.8031272210376688,0.6474164133738601,0.56951871657754,0.6059743954480796,0.8357025640494692,0.06985759735107422
Selected Top 30,Random Forest,30,0.7953091684434968,0.6378205128205128,0.5320855614973262,0.5801749271137027,0.8290090127400075,0.7724475860595703
Selected Top 30,XGBoost,30,0.7931769722814499,0.6351791530944625,0.5213903743315508,0.5726872246696035,0.8364829606928577,0.16440820693969727
,,,,,,,,
Combined Top 10,Logistic Regression,10,0.7896233120113717,0.6317567567567568,0.5,0.5582089552238806,0.8304753301479001,0.06517624855041504
Combined Top 10,Random Forest,10,0.7853589196872779,0.6161290322580645,0.5106951871657754,0.5584795321637427,0.8264025138348925,0.697364091873169
Combined Top 10,XGBoost,10,0.7882018479033405,0.6266666666666667,0.5026737967914439,0.5578635014836796,0.8351395913465272,0.12792754173278809
,,,,,,,,
Combined Top 20,Logistic Regression,20,0.7903340440653873,0.6321070234113713,0.5053475935828877,0.5616641901931649,0.8315495079489157,0.07099318504333496
Combined Top 20,Random Forest,20,0.7917555081734187,0.6345514950166113,0.5106951871657754,0.5659259259259259,0.8278429474403507,0.6562225818634033
Combined Top 20,XGBoost,20,0.7910447761194029,0.6351351351351351,0.5026737967914439,0.5611940298507463,0.835751743274094,0.1484510898590088
,,,,,,,,
Combined Top 30,Logistic Regression,30,0.7960199004975125,0.639871382636656,0.5320855614973262,0.581021897810219,0.8334118475340501,0.07667374610900879
Combined Top 30,Random Forest,30,0.7882018479033405,0.6266666666666667,0.5026737967914439,0.5578635014836796,0.8278377706798639,0.8591620922088623
Combined Top 30,XGBoost,30,0.7896233120113717,0.6258064516129033,0.5187165775401069,0.5672514619883041,0.8354359608843978,0.17786240577697754
