feature_set,model,number_of_features,accuracy,precision,recall,f1,roc_auc,training_time
Baseline,Logistic Regression,46,0.8045486851457001,0.649546827794562,0.5748663101604278,0.6099290780141844,0.8359342240812545,0.11037349700927734
Baseline,Random Forest,46,0.7945984363894811,0.6357827476038339,0.5320855614973262,0.5793304221251819,0.8184393620160376,2.2428948879241943
Baseline,XGBoost,46,0.7874911158493249,0.6132930513595166,0.5427807486631016,0.5758865248226951,0.8272786805472871,0.4071238040924072
,,,,,,,,
Constructed,Logistic Regression,55,0.7917555081734187,0.6310679611650486,0.5213903743315508,0.5710102489019033,0.8352741871191846,0.11636924743652344
Constructed,Random Forest,55,0.783226723525231,0.6116504854368932,0.5053475935828877,0.5534407027818448,0.8221109793913164,2.5507736206054688
Constructed,XGBoost,55,0.7882018479033405,0.6172839506172839,0.5347593582887701,0.5730659025787965,0.8301051917730922,0.3462026119232178
,,,,,,,,
Selected Top 10,Logistic Regression,10,0.7967306325515281,0.6375,0.5454545454545454,0.5878962536023055,0.8307419333129714,0.08478975296020508
Selected Top 10,Random Forest,10,0.7484008528784648,0.5277777777777778,0.5080213903743316,0.5177111716621253,0.7775054226566099,1.5503032207489014
Selected Top 10,XGBoost,10,0.7818052594171997,0.601823708206687,0.5294117647058824,0.5633001422475107,0.8198979142831999,0.26247072219848633
,,,,,,,,
Selected Top 20,Logistic Regression,20,0.7953091684434968,0.634375,0.5427807486631016,0.5850144092219021,0.8360856443254939,0.10410451889038086
Selected Top 20,Random Forest,20,0.7846481876332623,0.6163934426229508,0.5026737967914439,0.5537555228276878,0.8142850117253626,2.108593702316284
Selected Top 20,XGBoost,20,0.7889125799573561,0.6191950464396285,0.5347593582887701,0.5738880918220947,0.8268541861873676,0.2903256416320801
,,,,,,,,
Selected Top 30,Logistic Regression,30,0.8024164889836531,0.6463414634146342,0.5668449197860963,0.603988603988604,0.8356145591211932,0.09540462493896484
Selected Top 30,Random Forest,30,0.7917555081734187,0.6327868852459017,0.516042780748663,0.5684830633284241,0.8149372835467021,2.2018041610717773
Selected Top 30,XGBoost,30,0.7867803837953091,0.6107784431137725,0.5454545454545454,0.576271186440678,0.8242528640427392,0.29514193534851074
,,,,,,,,
Combined Top 10,Logistic Regression,10,0.7896233120113717,0.6326530612244898,0.49732620320855614,0.5568862275449101,0.8305478047947157,0.10052633285522461
Combined Top 10,Random Forest,10,0.7619047619047619,0.5611285266457681,0.4786096256684492,0.5165945165945166,0.7982849392507156,1.9165904521942139
Combined Top 10,XGBoost,10,0.7896233120113717,0.6282894736842105,0.5106951871657754,0.5634218289085545,0.8255405832138365,0.33972811698913574
,,,,,,,,
Combined Top 20,Logistic Regression,20,0.7903340440653873,0.6321070234113713,0.5053475935828877,0.5616641901931649,0.8316478663981652,0.10654425621032715
Combined Top 20,Random Forest,20,0.7640369580668088,0.5681818181818182,0.4679144385026738,0.5131964809384164,0.7987430825537994,1.7946083545684814
Combined Top 20,XGBoost,20,0.7882018479033405,0.6258278145695364,0.5053475935828877,0.5591715976331361,0.8245505277707317,0.3045365810394287
,,,,,,,,
Combined Top 30,Logistic Regression,30,0.7945984363894811,0.6357827476038339,0.5320855614973262,0.5793304221251819,0.8333574915489385,0.13468670845031738
Combined Top 30,Random Forest,30,0.775408670931059,0.5911949685534591,0.5026737967914439,0.5433526011560693,0.8131694198404522,2.3510584831237793
Combined Top 30,XGBoost,30,0.7896233120113717,0.6196319018404908,0.5401069518716578,0.5771428571428572,0.8263960428842839,0.33338117599487305
