C,penalty,accuracy,precision,recall,f1,roc_auc,training_time,experiment
0.001,l2,0.7725657427149965,0.6875,0.2647058823529412,0.38223938223938225,0.8315339776674553,0.4285571575164795,C
0.01,l2,0.7981520966595593,0.6530612244897959,0.5133689839572193,0.5748502994011976,0.8334985582722042,0.06628036499023438,C
0.1,l2,0.8052594171997157,0.654320987654321,0.5668449197860963,0.6074498567335244,0.8351810054304218,0.08803629875183105,C
1.0,l2,0.8045486851457001,0.649546827794562,0.5748663101604278,0.6099290780141844,0.8359342240812545,0.08089423179626465,C
10.0,l2,0.8017057569296375,0.6426426426426426,0.5721925133689839,0.6053748231966054,0.8352819522599149,0.1341550350189209,C
100.0,l2,0.7967306325515281,0.6317365269461078,0.5641711229946524,0.596045197740113,0.8348833417024294,0.08107566833496094,C
,,,,,,,,
1.0,l1,0.8024164889836531,0.6454545454545455,0.56951871657754,0.6051136363636364,0.8363638952016605,0.14432406425476074,penalty
1.0,l2,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359212821800374,0.08057522773742676,penalty
,,,,,,,,
0.01,l1,0.7860696517412935,0.6465863453815262,0.4304812834224599,0.5168539325842697,0.8316517489685304,0.07394838333129883,combined
0.01,l2,0.7967306325515281,0.6486486486486487,0.5133689839572193,0.573134328358209,0.8338790501679858,0.06731700897216797,combined
0.1,l1,0.8031272210376688,0.6483180428134556,0.5668449197860963,0.6048502139800286,0.8357853922172582,0.15901589393615723,combined
0.1,l2,0.806680881307747,0.6574074074074074,0.56951871657754,0.6103151862464183,0.8353233663438094,0.07309532165527344,combined
1.0,l1,0.8024164889836531,0.6454545454545455,0.56951871657754,0.6051136363636364,0.8363638952016605,0.14717864990234375,combined
1.0,l2,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359212821800374,0.08110189437866211,combined
10.0,l1,0.8009950248756219,0.6407185628742516,0.5721925133689839,0.6045197740112994,0.8353596036672171,0.7388837337493896,combined
10.0,l2,0.8002842928216063,0.6388059701492538,0.5721925133689839,0.6036671368124118,0.835263833598211,0.08381938934326172,combined
