feature,importance_mean,importance_std,rank
tenure,0.24699844258530965,0.02681301402695733,1
InternetService_Fiber optic,0.16519630550683437,0.01890111795479735,2
MonthlyCharges,0.10099274028948826,0.006546947636656387,3
InternetService_DSL,0.09329019306218825,0.012876728926593627,4
Contract_Month-to-month,0.06629486388771748,0.02087218689428186,5
Contract_Two year,0.05043578715025199,0.018476402878423875,6
TotalCharges,0.028653311915170586,0.013724946156721317,7
PaperlessBilling_No,0.028221864042001044,0.01023287662470426,8
DeviceProtection_No internet service,0.024366068230662195,0.009291095083357709,9
OnlineSecurity_No internet service,0.024366068230662195,0.009291095083357709,10
InternetService_No,0.024366068230662195,0.009291095083357709,11
OnlineBackup_No internet service,0.024366068230662195,0.009291095083357709,12
TechSupport_No internet service,0.024366068230662195,0.009291095083357709,13
StreamingTV_No internet service,0.024366068230662195,0.009291095083357709,14
StreamingMovies_No internet service,0.024366068230662195,0.009291095083357709,15
StreamingMovies_Yes,0.018033557626489193,0.009294535888387906,16
MultipleLines_Yes,0.016939403003180375,0.005790428390540708,17
Dependents_Yes,0.0162121999553963,0.009632502707199375,18
StreamingTV_Yes,0.015918569774213208,0.007471148691015026,19
OnlineSecurity_No,0.012874784666046645,0.007168609283838204,20
PaymentMethod_Electronic check,0.012176398491169759,0.005112868537147288,21
MultipleLines_No,0.012017798365039457,0.007023437286532333,22
Partner_Yes,0.010311367758128898,0.00571349167339396,23
TechSupport_No,0.009826652932473178,0.004998111314653021,24
PaymentMethod_Mailed check,0.009492455780915943,0.0040229742415938945,25
Contract_One year,0.008836302035437282,0.0028769529380886956,26
SeniorCitizen_0,0.008597663859932981,0.00502183787599425,27
gender_Female,0.008483858776821441,0.004796536566197128,28
PaymentMethod_Credit card (automatic),0.007310903502531585,0.006618304856373584,29
Partner_No,0.006064758209907262,0.004707891941617808,30
OnlineBackup_Yes,0.0054812542427043805,0.0022007544075722902,31
StreamingTV_No,0.005463182981685077,0.008005748720037693,32
PhoneService_No,0.005417380433039831,0.005207241593173891,33
MultipleLines_No phone service,0.005417380433039831,0.005207241593173891,34
StreamingMovies_No,0.004267755380831739,0.006713369597859196,35
DeviceProtection_Yes,0.0026903562839547756,0.003932773033927712,36
DeviceProtection_No,0.0019298149881245897,0.0027180452187466624,37
Dependents_No,0.001785045980439759,0.002226822247919858,38
gender_Male,0.0014414651075526307,0.0053499270430574595,39
OnlineBackup_No,0.001180456700302246,0.0017038788887930412,40
PhoneService_Yes,-8.52637198887618e-05,0.0002557911596662854,41
OnlineSecurity_Yes,-0.00017523194038980837,0.0008846429454153672,42
PaymentMethod_Bank transfer (automatic),-0.00017725361714799882,0.005238264105146022,43
TechSupport_Yes,-0.001205908888509488,0.0013536012759543905,44
SeniorCitizen_1,-0.004104493464321646,0.002913151574278786,45
PaperlessBilling_Yes,-0.005565370961563898,0.002714301721170764,46
