feature,importance_mean,importance_std,rank
Contract_Month-to-month,0.09058508890067549,0.018645913389067216,1
tenure,0.0831194121805636,0.019050468950681482,2
InternetService_Fiber optic,0.050038595625142755,0.0072978315405678815,3
Contract_Two year,0.02286194224764032,0.009886655252725937,4
OnlineSecurity_No,0.02242233907228469,0.009085355691751444,5
InternetService_DSL,0.01938332288177037,0.007148134822640181,6
MonthlyCharges,0.017931828757825407,0.007979256398205329,7
PaymentMethod_Electronic check,0.017113567663896944,0.007943597395559809,8
TechSupport_No,0.01604102669923251,0.008105816940589193,9
TotalCharges,0.01149764028122885,0.010035957968760556,10
PaperlessBilling_Yes,0.009749099060349865,0.0035992448668052705,11
OnlineSecurity_Yes,0.009681838906717454,0.0037169495987608102,12
Contract_One year,0.006011719840682328,0.005490677508919209,13
Dependents_Yes,0.005223657231562762,0.003298461024206282,14
PaymentMethod_Mailed check,0.004328947537504224,0.0035348901900845824,15
TechSupport_Yes,0.0037120651920952707,0.004585527222567151,16
DeviceProtection_Yes,0.00330311083495245,0.003935627590684615,17
PaperlessBilling_No,0.0024360554704570213,0.004618450126033643,18
Dependents_No,0.0024143944272556283,0.0037064352873955307,19
StreamingTV_No internet service,0.002412599641981361,0.002327924239867918,20
OnlineSecurity_No internet service,0.0018736129868412443,0.0014487907952508436,21
StreamingMovies_No internet service,0.0018295075902245884,0.0018750854951545307,22
InternetService_No,0.0017939264095400364,0.001898935302546926,23
SeniorCitizen_1,0.0015581898026952757,0.002222809813941529,24
SeniorCitizen_0,0.0005974421352816228,0.002863919620212183,25
OnlineBackup_Yes,0.0004696808596326152,0.0037935719642527683,26
MultipleLines_No phone service,8.245003845204213e-05,0.0004458382368694736,27
OnlineBackup_No internet service,6.114060445804315e-05,0.0019853837173216156,28
PhoneService_No,-0.00019994237946382442,0.0014959717178657708,29
PaymentMethod_Bank transfer (automatic),-0.00036746685423965085,0.0028173236721508515,30
DeviceProtection_No internet service,-0.000603902832982417,0.0015777706992706596,31
OnlineBackup_No,-0.0008151086751043368,0.005178866645807528,32
PhoneService_Yes,-0.0011280406549393108,0.0009252797728699926,33
TechSupport_No internet service,-0.0013292309270187652,0.0021721849764597453,34
DeviceProtection_No,-0.001384326354567611,0.004799127483805348,35
StreamingTV_Yes,-0.0016770401960247371,0.0033225200226751823,36
Partner_No,-0.002258516074589212,0.001925890535705096,37
MultipleLines_Yes,-0.003353704244046496,0.00661192721869804,38
Partner_Yes,-0.003815553170572228,0.002745996845703521,39
gender_Female,-0.004262143846643829,0.003990525307376362,40
MultipleLines_No,-0.0044698281905784735,0.005287568830675578,41
StreamingMovies_Yes,-0.004824410844416638,0.0035888344689417374,42
gender_Male,-0.005293798851483955,0.003993045690196965,43
StreamingTV_No,-0.006661677340749095,0.005133424799219667,44
PaymentMethod_Credit card (automatic),-0.00692305602816663,0.0020487937933640035,45
StreamingMovies_No,-0.008592307862788218,0.0034241881709102806,46
