feature,importance_mean,importance_std,rank
Contract_Month-to-month,0.17750999795351546,0.020362501404061106,1
tenure,0.15135620747564357,0.019136319899035522,2
InternetService_Fiber optic,0.06507790941773572,0.012607732630495796,3
OnlineSecurity_No,0.053361934068755126,0.005583240655969607,4
TechSupport_No,0.038112722755694974,0.013054795382302605,5
PaymentMethod_Electronic check,0.03608838113919175,0.005154412818825117,6
PaperlessBilling_No,0.02670752395844863,0.007319884893979935,7
MultipleLines_No,0.019239029796771924,0.00762703147255025,8
MonthlyCharges,0.01725321999825381,0.01184847923633883,9
OnlineBackup_No,0.015847018534001424,0.003489639505293052,10
SeniorCitizen_0,0.013475872846624427,0.005053465045349791,11
Contract_Two year,0.012585830419401057,0.006935578948079306,12
Dependents_No,0.009967077951418091,0.0063217705136791435,13
TotalCharges,0.008352531118874629,0.01087807143141324,14
StreamingTV_Yes,0.005785851144232257,0.0017548702262208727,15
InternetService_No,0.004232845496279958,0.002783054386841457,16
PaymentMethod_Mailed check,0.0037193492457918476,0.003189009453697745,17
StreamingMovies_No,0.0026448659544941132,0.0018333212746416427,18
PaymentMethod_Bank transfer (automatic),0.002272469813269895,0.0021177539463451355,19
StreamingTV_No,0.000812721580660547,0.0009953765877832705,20
InternetService_DSL,0.0006979823506150007,0.0007057347020909528,21
gender_Female,0.0006495544904544292,0.0031534513525891435,22
PhoneService_No,0.0005929809032054978,0.0019651641374180168,23
Dependents_Yes,0.0,0.0,24
PhoneService_Yes,0.0,0.0,25
Partner_Yes,0.0,0.0,26
SeniorCitizen_1,0.0,0.0,27
gender_Male,0.0,0.0,28
Partner_No,0.0,0.0,29
MultipleLines_No phone service,0.0,0.0,30
MultipleLines_Yes,0.0,0.0,31
StreamingMovies_No internet service,0.0,0.0,32
DeviceProtection_No internet service,0.0,0.0,33
TechSupport_No internet service,0.0,0.0,34
OnlineBackup_No internet service,0.0,0.0,35
OnlineBackup_Yes,0.0,0.0,36
OnlineSecurity_No internet service,0.0,0.0,37
DeviceProtection_No,0.0,0.0,38
PaperlessBilling_Yes,0.0,0.0,39
StreamingTV_No internet service,0.0,0.0,40
TechSupport_Yes,0.0,0.0,41
PaymentMethod_Credit card (automatic),-0.00013666524768883858,0.0005815093047430847,42
Contract_One year,-0.0007650363858769272,0.00025501212862564235,43
OnlineSecurity_Yes,-0.0009598004398422844,0.0016435877697280254,44
StreamingMovies_Yes,-0.0019183141258296676,0.002545856507792335,45
DeviceProtection_Yes,-0.0027783370386220696,0.0016199902156408437,46
