Rank,Feature,F_score,P_value
1,categorical__Contract_Month-to-month,1147.4919199822536,4.555133686818025e-229
2,numeric__tenure,793.7534903128319,1.7715406119450127e-163
3,categorical__OnlineSecurity_No,761.2923050424233,2.811140919365107e-157
4,categorical__TechSupport_No,720.8115981320493,1.6829254894519417e-149
5,categorical__InternetService_Fiber optic,582.6552555655547,1.421295538373932e-122
6,categorical__PaymentMethod_Electronic check,578.1583133663928,1.0948095471311738e-121
7,categorical__Contract_Two year,563.4898660853221,8.630771439012875e-119
8,categorical__OnlineBackup_No,445.9352739154579,2.554735270747325e-95
9,categorical__DeviceProtection_No,373.3118349559411,1.388346947967314e-80
10,categorical__StreamingTV_No internet service,306.6831204444657,6.698053493118983e-67
11,categorical__StreamingMovies_No internet service,306.6831204444657,6.698053493118983e-67
12,categorical__InternetService_No,306.6831204444657,6.698053493118983e-67
13,categorical__DeviceProtection_No internet service,306.6831204444657,6.698053493118983e-67
14,categorical__TechSupport_No internet service,306.6831204444657,6.698053493118983e-67
15,categorical__OnlineSecurity_No internet service,306.6831204444657,6.698053493118983e-67
16,categorical__OnlineBackup_No internet service,306.6831204444657,6.698053493118983e-67
17,numeric__TotalCharges,229.40911861631682,7.98445308909316e-51
18,numeric__MonthlyCharges,218.6229053060069,1.4610718174023534e-48
19,categorical__PaperlessBilling_No,207.18845877728702,3.699814603586052e-46
20,categorical__PaperlessBilling_Yes,207.18845877728603,3.6998146035896276e-46
21,categorical__Contract_One year,201.18737572969934,6.787884755905616e-45
22,categorical__OnlineSecurity_Yes,178.15231749655342,4.963579485460063e-40
23,categorical__Dependents_No,169.73756363211632,3.0080233007733165e-38
24,categorical__Dependents_Yes,169.73756363211606,3.0080233007742995e-38
25,categorical__TechSupport_Yes,156.90182649905245,1.596787080380805e-35
26,categorical__Partner_Yes,137.15045208242222,2.5763633653228607e-31
27,categorical__Partner_No,137.15045208242128,2.576363365323666e-31
28,categorical__SeniorCitizen_1,131.14891218891523,4.934105457316164e-30
29,categorical__SeniorCitizen_0,131.14891218891395,4.9341054573208625e-30
30,categorical__PaymentMethod_Credit card (automatic),101.13833372485071,1.3564537345068753e-23
31,categorical__PaymentMethod_Bank transfer (automatic),91.61539795779989,1.5350638917738055e-21
32,categorical__StreamingMovies_No,89.9742177312499,3.472338095373501e-21
33,categorical__InternetService_DSL,87.39973659065753,1.2504158490185094e-20
34,categorical__StreamingTV_No,79.58733609369999,6.141152382687347e-19
35,categorical__PaymentMethod_Mailed check,45.48181233827434,1.6949575079172895e-11
36,categorical__OnlineBackup_Yes,41.810856665325545,1.090272755422927e-10
37,categorical__StreamingTV_Yes,30.15718472429225,4.1588460698295136e-08
38,categorical__StreamingMovies_Yes,24.36639236032232,8.194455092807881e-07
39,categorical__DeviceProtection_Yes,23.153402927272285,1.534861773047982e-06
40,categorical__MultipleLines_Yes,10.943303996633848,0.0009453286202899886
41,categorical__MultipleLines_No,8.16615054691903,0.004283615477842995
42,categorical__PhoneService_Yes,0.488247049744609,0.48473919730416226
43,categorical__PhoneService_No,0.488247049737546,0.48473919730751314
44,categorical__MultipleLines_No phone service,0.488247049737546,0.48473919730751314
45,categorical__gender_Female,0.19363877394642667,0.6599221099944226
46,categorical__gender_Male,0.1936387739455174,0.6599221099949364
